feature,importance
Risk Rating_Low,0.6430557167908008
Risk Rating_High,0.3569442832091992
Marital Status Change,0.0
Country_Tajikistan,0.0
Employment Status_Employed,0.0
Country_United Kingdom,0.0
Country_United Arab Emirates,0.0
Gender_Female,0.0
Age,0.0
Income,0.0
Assets Value,0.0
Gender_Male,0.0
Gender_Non-binary,0.0
Education Level_Bachelor's,0.0
Education Level_High School,0.0
Education Level_Master's,0.0
Education Level_PhD,0.0
Marital Status_Divorced,0.0
Marital Status_Married,0.0
Marital Status_Single,0.0
Marital Status_Widowed,0.0
Loan Purpose_Auto,0.0
Loan Purpose_Business,0.0
Loan Purpose_Home,0.0
Loan Purpose_Personal,0.0
Loan Amount,0.0
Employment Status_Self-employed,0.0
Employment Status_Unemployed,0.0
Payment History_Excellent,0.0
Payment History_Fair,0.0
Payment History_Good,0.0
Payment History_Poor,0.0
City_Aaronborough,0.0
City_Aaronhaven,0.0
City_Aaronmouth,0.0
City_Aaronshire,0.0
City_Aaronview,0.0
City_Abbottmouth,0.0
City_Abigailchester,0.0
City_Abigailtown,0.0
City_Adamburgh,0.0
City_Adambury,0.0
City_Adamfurt,0.0
City_Adamport,0.0
City_Adamsberg,0.0
City_Adamsburgh,0.0
City_Adamschester,0.0
City_Adamsfurt,0.0
City_Adamside,0.0
City_Adamsmouth,0.0
City_Adamsshire,0.0
City_Adamville,0.0
City_Adrianaborough,0.0
City_Adrianport,0.0
City_Adrienneland,0.0
City_Aguilarbury,0.0
City_Aguirrestad,0.0
City_Alanfort,0.0
City_Alanfurt,0.0
City_Albertchester,0.0
City_Alejandroborough,0.0
City_Alexanderbury,0.0
City_Alexanderhaven,0.0
City_Alexanderport,0.0
City_Alexandershire,0.0
City_Alexanderview,0.0
City_Alexandramouth,0.0
City_Alexandraside,0.0
City_Alexandratown,0.0
City_Alexandriaville,0.0
City_Alexisfurt,0.0
City_Alexismouth,0.0
City_Alexshire,0.0
City_Alexton,0.0
City_Alfredbury,0.0
City_Aliceland,0.0
City_Aliciahaven,0.0
City_Aliciashire,0.0
City_Alisonfort,0.0
City_Allenbury,0.0
City_Allenfort,0.0
City_Allenfurt,0.0
City_Allenhaven,0.0
City_Allenshire,0.0
City_Allenton,0.0
City_Allenville,0.0
City_Allisonland,0.0
City_Allisonmouth,0.0
City_Allisonview,0.0
City_Alvaradohaven,0.0
City_Alvarezburgh,0.0
City_Alvarezshire,0.0
City_Alyssashire,0.0
City_Alyssaton,0.0
City_Amandamouth,0.0
City_Amandashire,0.0
City_Amandaside,0.0
City_Amandaton,0.0
City_Amandatown,0.0
City_Amandaville,0.0
City_Amberbury,0.0
City_Amberchester,0.0
City_Amberfort,0.0
City_Amberside,0.0
City_Amberstad,0.0
City_Amyborough,0.0
City_Amychester,0.0
City_Amyhaven,0.0
City_Amymouth,0.0
City_Amyside,0.0
City_Andersonfurt,0.0
City_Andersonport,0.0
City_Andersonstad,0.0
City_Andersonton,0.0
City_Andersontown,0.0
